"Regions","Area_ha","2012-01-05","2012-01-12","2012-01-19","2012-01-26","2012-02-02","2012-02-09","2012-02-16","2012-02-23","2012-03-01","2012-03-09","2012-03-16","2012-03-23","2012-03-30","2012-04-06","2012-04-13"
"Tapurah",150000,0.01,0.04,0.05,0.09,0.12,0.24,0.33,0.6,0.74,0.9,0.97,1,1,1,1
"Santa_Rita_do_Trivelato",160000,0,0.005,0.02,0.05,0.09,0.2,0.3,0.6,0.76,0.88,0.95,1,1,1,1
"Nova_Ubirata",267000,0,0.01,0.03,0.06,0.1,0.22,0.34,0.65,0.78,0.9,0.97,1,1,1,1
"Vera",130000,0,0.005,0.02,0.06,0.11,0.2,0.31,0.58,0.75,0.9,0.97,1,1,1,1
"Sao_Jose_do_Rio_Claro",109000,0,0.01,0.02,0.06,0.09,0.18,0.3,0.55,0.68,0.76,0.89,0.99,1,1,1
"Others_Medio_Norte",426300,0.003,0.01,0.03,0.06,0.11,0.25,0.35,0.65,0.78,0.9,0.96,0.99,1,1,1
"Oeste",955900,0.012,0.033,0.071,0.101,0.181,0.33,0.405,0.519,0.658,0.874,0.951,0.994,1,1,1
"Sapezal",362500,0.02,0.05,0.1,0.15,0.28,0.48,0.55,0.68,0.8,0.98,1,1,1,1,1
"Campo_Novo_dos_Parecis",350000,0.005,0.015,0.04,0.06,0.11,0.23,0.3,0.4,0.55,0.78,0.9,0.99,1,1,1
"Campos_de_Julio",175000,0.01,0.04,0.08,0.1,0.14,0.25,0.34,0.45,0.6,0.85,0.95,0.99,1,1,1
"Others_Oeste",68400,0.005,0.02,0.05,0.06,0.12,0.25,0.34,0.45,0.6,0.85,0.95,0.99,1,1,1
"Centro_Sul",431570,0,0.005,0.012,0.043,0.068,0.198,0.303,0.401,0.503,0.739,0.835,0.929,0.986,1,1
"Diamantino",285000,0,0.005,0.01,0.04,0.06,0.2,0.31,0.4,0.5,0.75,0.85,0.94,0.99,1,1
"Tangara_da_Serra",60000,0.002,0.01,0.02,0.05,0.08,0.2,0.29,0.39,0.5,0.68,0.78,0.88,0.97,1,1
"Santo_Antonio_do_Leveger",21300,0,0,0.01,0.03,0.06,0.16,0.26,0.36,0.48,0.68,0.78,0.9,0.97,1,1
"Chapada_dos_Guimaraes",17500,0,0,0.03,0.1,0.14,0.25,0.35,0.5,0.6,0.8,0.88,0.96,0.99,1,1
"Others_Centro_Sul",47770,0,0,0.01,0.04,0.08,0.18,0.28,0.4,0.5,0.75,0.82,0.93,0.99,1,1
"Sudeste",1530400,0.002,0.008,0.022,0.06,0.096,0.196,0.295,0.475,0.601,0.776,0.883,0.935,0.983,0.994,1
"Campo_Verde",193000,0.005,0.015,0.045,0.12,0.18,0.29,0.38,0.6,0.75,0.9,0.98,1,1,1,1
"Primavera_do_Leste",250000,0.005,0.015,0.04,0.06,0.1,0.2,0.3,0.52,0.62,0.75,0.9,0.97,1,1,1
"Alto_Garcas_e_Alto_Taquari",130000,0.003,0.005,0.01,0.04,0.06,0.16,0.27,0.46,0.55,0.68,0.78,0.88,0.95,0.99,1
"Jaciara_e_Juscimeira",77000,0,0.005,0.01,0.05,0.1,0.18,0.28,0.4,0.58,0.75,0.86,0.92,0.96,0.99,1
"Santo_Antonio_do_Leste",125000,0,0.01,0.045,0.06,0.09,0.19,0.28,0.4,0.53,0.73,0.84,0.92,0.99,1,1
"Others_Sudeste",755400,0.001,0.005,0.01,0.05,0.08,0.18,0.28,0.45,0.58,0.78,0.88,0.92,0.98,0.99,1
"Mato_Grosso",7072270,0.004,0.012,0.027,0.058,0.108,0.242,0.347,0.516,0.649,0.803,0.894,0.944,0.974,0.993,1
